,likes,dislikes,ld_ratio,date,genre,is_title_all_caps,views
157,34,2,11.333333333333334,2017-11-12T10:48:16.000Z,25,False,5309
158,5,5,0.8333333333333334,2017-11-13T00:04:15.000Z,24,False,3036
159,101,26,3.740740740740741,2017-11-13T10:23:50.000Z,27,False,1533
160,469,3,117.25,2017-11-13T08:00:01.000Z,10,False,3810
161,218,32,6.606060606060606,2017-11-13T08:15:42.000Z,22,True,3031
162,1280,126,10.078740157480315,2017-11-12T19:08:08.000Z,25,False,167069
163,49053,746,65.66666666666667,2017-11-11T15:15:22.000Z,10,True,726523
164,6888,400,17.17705735660848,2017-11-12T04:24:18.000Z,17,False,1606435
165,47373,451,104.8075221238938,2017-11-09T18:11:40.000Z,24,False,428725
166,12,4,2.4,2017-06-17T05:30:01.000Z,25,False,15394
167,12187,319,38.084375,2017-11-11T19:19:27.000Z,10,True,267385
168,2228,223,9.946428571428571,2017-11-12T12:00:04.000Z,24,False,71139
169,1177,48,24.020408163265305,2017-11-11T22:26:59.000Z,25,False,128576
170,662,12,50.92307692307692,2017-11-12T15:00:02.000Z,26,True,6664
171,874,10,79.45454545454545,2017-11-12T18:00:14.000Z,20,False,10876
172,3469,101,34.009803921568626,2017-11-12T14:00:17.000Z,23,False,51197
173,9,4,1.8,2017-07-08T14:05:05.000Z,22,False,4558
174,3372,63,52.6875,2017-11-12T21:00:21.000Z,20,True,50369
175,8433,313,26.856687898089174,2017-11-10T15:00:03.000Z,10,False,369833
176,10119,102,98.24271844660194,2017-11-12T13:11:12.000Z,20,True,83419
177,47,6,6.714285714285714,2017-11-13T07:22:06.000Z,23,False,2776
178,700,96,7.216494845360825,2017-11-11T20:39:15.000Z,24,True,113826
179,2144,167,12.761904761904763,2017-11-13T00:19:58.000Z,22,False,200101
180,3870,424,9.105882352941176,2017-11-11T19:19:12.000Z,17,False,560386
181,136,3,34.0,2017-11-12T11:57:52.000Z,17,False,20919
182,19436,437,44.37442922374429,2017-11-10T16:10:07.000Z,23,False,620713
183,194,8,21.555555555555557,2017-11-13T08:47:59.000Z,17,False,6905
184,9,0,9.0,2017-11-12T09:10:57.000Z,22,False,8441
185,0,0,0.0,2017-11-12T23:14:13.000Z,17,False,13727
186,50,2,16.666666666666668,2017-11-13T08:05:51.000Z,24,False,1824
187,6278,88,70.53932584269663,2017-11-11T17:00:03.000Z,17,True,89973
188,36,6,5.142857142857143,2017-11-12T16:45:24.000Z,2,False,4416
189,3177,58,53.847457627118644,2017-11-12T11:30:06.000Z,17,True,52391
190,136,7,17.0,2017-11-11T22:04:20.000Z,20,False,26423
191,833,19,41.65,2017-11-13T05:00:01.000Z,17,False,41562
192,132,9,13.2,2017-11-12T15:42:06.000Z,17,False,17905
193,35051,937,37.36780383795309,2017-11-09T18:00:03.000Z,10,False,1402630
194,6202,295,20.9527027027027,2017-11-11T09:53:40.000Z,22,False,262956
195,2998,334,8.949253731343283,2017-11-11T14:30:49.000Z,20,False,81481
196,202,4,40.4,2017-11-12T18:56:05.000Z,27,True,5854
197,173,9,17.3,2017-11-12T07:54:48.000Z,20,True,29892
198,2163,20,103.0,2017-11-12T16:55:14.000Z,20,False,21035
199,2,0,2.0,2017-11-12T11:50:46.000Z,25,False,3647
